,Food Bank,ID,Total Population,2021 Food Insecurity %,2021 Food Insecurity #,address,city,zip_code,state,statecode,latitude,longitude,lbs_distr,program_budget,metro gdp per capita,estimated_budget,estimated_pounds_per_year
148,Eastern Illinois Foodbank,201,1109233,0.11900000000000001,131970,2405 North Shore Drive,Urbana,61802,Illinois,IL,40.0746,-88.1691,,,43908.0,39329487.83509665,23676665.2814351
149,Second Harvest Food Bank of North Central Ohio,202,482610,0.14,67620,5510 Baumhart Rd,Lorain,44053,Ohio,OH,41.431999999999995,-82.2038,,,,23141970.064331453,15231037.628477667
150,Northeast Iowa Food Bank,206,377054,0.094,35450,1605 Lafayette Steet|PO Box 2397,Waterloo,50703,Iowa,IA,42.5149,-92.3269,,,50672.0,15049468.950337412,11008880.027923811
151,"Long Island Cares, Inc.",207,1420170,0.069,196360,10 Davids Drive,Hauppauge,11788,New York,NY,40.8231,-73.1958,,,,55527067.77697033,32127542.741791416
152,Kansas Food Bank,208,1495571,0.139,207310,1919 E. Douglas,Wichita,67211,Kansas,KS,37.6662,-97.3165,,,42871.0,58281587.11791638,33564677.51723638
153,Wichita Falls Area Food Bank,209,225644,0.192,43430,1230 Midwestern Parkway|PO Box 623,Wichita Falls,76307,Texas,TX,33.9137,-98.4934,,,42871.0,17056872.086478926,12056216.604001518
154,Second Harvest Food Bank of the Mahoning Valley,214,533518,0.161,85710,2805 Salt Springs Road,Youngstown,44509,Ohio,OH,41.105,-80.6945,,,31845.0,27692586.948140968,17605263.024623744
155,East Texas Food Bank,216,1278507,0.188,240850,3201 Robertson Road,Tyler,75701,Texas,TX,32.3254,-95.2922,,,64085.0,66718717.59237582,37966641.02120207
156,Second Harvest Northern Lakes Food Bank,218,330920,0.11599999999999999,38320,4503 Airpark Boulevard,Duluth,55811,Minnesota,MN,46.8147,-92.1998,,,41479.0,15771429.727370763,11385553.708793864
157,Second Harvest Food Bank of Northeast Tennessee,219,508884,0.171,86780,1020 Jericho Drive,Kingsport,37663,Tennessee,TN,36.4715,-82.4834,,,32940.0,27961750.025292777,17745695.37254394
158,Great Plains Food Bank,220,820163,0.076,62340,1720 3rd Avenue North,Fargo,58102,North Dakota,ND,46.9209,-96.8318,,,58068.0,21813763.478012256,14538063.051824749
159,"Food Bank of the Rio Grande Valley, Inc.",221,1298430,0.214,278140,724 N. Cage Blvd.,Pharr,78577,Texas,TX,26.1771,-98.18700000000001,,,,76099176.60825515,42860773.96881331
160,Feeding Westchester,222,968890,0.09,87160,200 Clearbrook Road,Elmsford,10523,New York,NY,41.0572,-73.8136,,,,28057340.650823325,17795568.54283335
161,Food Bank for Monterey County,225,433410,0.113,49070,"815 W. Market Street, Suite 5",Salinas,93901,California,CA,36.6677,-121.6596,,,47349.0,18475638.212774426,12796439.447244406
162,Good Shepherd Food Bank,259,1335492,0.136,181470,3121 Hotel Road|PO Box 1807,Auburn,4211,Maine,ME,44.196999999999996,-70.2395,,,29173.0,51781424.58183911,30173301.9375562
163,Food Bank of Central Louisiana,276,390796,0.17800000000000002,69600,3223 Baldwin Avenue,Alexandria,71301,Louisiana,LA,31.2885,-92.4633,,,33306.0,23640047.53420115,15490903.094722511
164,Food Bank of Northern Indiana,278,733376,0.138,101050,702 South Chapin Street,South Bend,46601,Indiana,IN,41.6727,-86.2535,,,38007.0,31551429.568242572,19618564.162096422
165,Utah Food Bank,279,3096848,0.121,373400,3150 South 900 West,Salt Lake City,84119,Utah,UT,40.6916,-112.0011,,,61809.0,100062237.1030973,55363190.289259695
166,Harry Chapin Food Bank of Southwest Florida,280,1344236,0.13,175280,3760 Fowler St.,Ft. Myers,33901,Florida,FL,26.6204,-81.8725,,,,50224303.60280202,29360894.24257863
167,Central California Food Bank,281,2640184,0.154,407630,4010 E. Amendola Ave.,Fresno,93725,California,CA,36.6207,-119.7308,,,36255.0,108672940.029178,59855712.97085616
168,All Faiths Food Bank,284,456399,0.13,59510,8171 Blaikie Ct.,Sarasota,34240,Florida,FL,27.339000000000002,-82.3473,,,33572.0,21101864.87208738,14166639.178353583
