Rank,Metropolitan area,"2017 GDP per capita 
(chained 2009 US-Dollars)"
235,"St. Joseph, MO-KS Metropolitan Statistical Area","37,597"
236,"Scranton–Wilkes-Barre–Hazleton, PA Metropolitan Statistical Area","37,417"
237,"Canton-Massillon, OH Metropolitan Statistical Area","37,260"
238,"Hinesville, GA Metropolitan Statistical Area","37,233"
239,"Huntington-Ashland, WV-KY-OH, Metropolitan Statistical Area","37,111"
240,"Saginaw, MI Metropolitan Statistical Area","37,083"
241,"Great Falls, MT Metropolitan Statistical Area","37,061"
242,"Bremerton-Silverdale, WA Metropolitan Statistical Area","37,037"
243,"Macon-Bibb County, GA Metropolitan Statistical Area","36,944"
244,"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area","36,646"
245,"Carbondale-Marion, IL Metropolitan Statistical Area","36,494"
246,"Springfield, MO Metropolitan Statistical Area","36,472"
247,"Staunton-Waynesboro, VA Metropolitan Statistical Area","36,464"
248,"Panama City, FL Metropolitan Statistical Area","36,415"
249,"Eugene, OR Metropolitan Statistical Area","36,405"
250,"Joplin, MO Metropolitan Statistical Area","36,337"
251,"Fresno, CA Metropolitan Statistical Area","36,255"
252,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area","36,189"
253,"Tallahassee, FL Metropolitan Statistical Area","36,156"
254,"Florence, SC Metropolitan Atatistical Area","36,110"
255,"Greeley, CO Metropolitan Statistical Area","36,065"
256,"Bowling Green, KY Metropolitan Statistical Area","35,939"
257,"Provo-Orem, UT Metropolitan Statistical Area","35,913"
258,"Hattiesburg, MS Metropolitan Statistical Area","35,831"
259,"Flagstaff, AZ Metropolitan Statistical Area","35,636"
260,"Dover, DE Metropolitan Statistical Area","35,425"
261,"Janesville-Beloit, WI Metropolitan Statistical Area","35,344"
262,"Lawton, OK Metropolitan Statistical Area","35,310"
263,"Erie, PA Metropolitan Statistical Area","35,253"
264,"Binghamton, NY Metropolitan Statistical Area","35,192"
265,"Longview, WA Metropolitan Statistical Area","35,178"
266,"Glens Falls, NY Metropolitan Statistical Area","35,173"
267,"Rome, GA metropolitan statistical area","35,099"
268,"Kankakee, IL Metropolitan Statistical Area","35,035"
269,"Salem, OR Metropolitan Statistical Area","34,974"
269,"Jackson, MI Metropolitan Statistical Area","34,974"
271,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area","34,843"
272,"College Station-Bryan, TX Metropolitan Statistical Area","34,770"
273,"Killeen-Temple, TX Metropolitan Statistical Area","34,727"
274,"Racine, WI Metropolitan Statistical Area","34,635"
275,"Bangor, ME Metropolitan Statistical Area","34,565"
276,"New Bern, NC Metropolitan Statistical Area","34,444"
277,"Jonesboro, AR Metropolitan Statistical Area","34,442"
278,"Lewiston, ID-WA Metropolitan Statistical Area","34,102"
279,"Medford, OR Metropolitan Statistical Area","34,081"
280,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area","34,070"
281,"Elmira, NY Metropolitan Statistical Area","34,050"
282,"Rocky Mount, NC metropolitan statistical area","33,818"
283,"Clarksville, TN-KY Metropolitan Statistical Area","33,760"
284,"Twin Falls, ID metropolitan area","33,737"
285,"Manhattan, KS Metropolitan Statistical Area","33,728"
286,"Yakima, WA Metropolitan Statistical Area","33,654"
287,"Lewiston-Auburn, ME Metropolitan Statistical Area","33,640"
288,"Redding, CA Metropolitan Statistical Area","33,603"
289,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area","33,572"
290,"Ogden-Clearfield, UT Metropolitan Statistical Area","33,554"
291,"Blacksburg–Christiansburg, VA","33,521"
292,"Beckley, WV Metropolitan Statistical Area","33,383"
293,"Alexandria, LA Metropolitan Statistical Area","33,306"
294,"Terre Haute, IN Metropolitan Statistical Area","33,099"
295,"Tucson, AZ Metropolitan Statistical Area","33,088"
296,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area","33,063"
297,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area","32,940"
298,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area","32,889"
299,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area","32,784"
300,"Lawrence, KS Metropolitan Statistical Area","32,778"
301,"Modesto, CA Metropolitan Statistical Area","32,768"
302,"Lynchburg, VA Metropolitan Statistical Area","32,715"
303,"Vineland-Bridgeton, NJ Metropolitan Statistical Area","32,699"
304,"Coeur d'Alene, ID Metropolitan Statistical Area","32,532"
305,"Utica-Rome, NY metropolitan statistical area","32,486"
306,"Mansfield, OH Metropolitan Statistical Area","32,455"
307,"Morristown, TN Metropolitan Statistical Area","32,420"
308,"Danville, IL Metropolitan Statistical Area","32,097"
309,"Lebanon, PA Metropolitan Statistical Area","32,014"
310,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area","31,980"
311,"Logan, UT-ID Metropolitan Statistical Area","31,966"
312,"Grand Junction, CO Metropolitan Statistical Area","31,938"
313,"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area","31,845"
314,"Warner Robins, GA Metropolitan Statistical Area","31,837"
315,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area","31,767"
316,"East Stroudsburg, PA Metropolitan Statistical Area","31,602"
316,"Fort Smith, AR-OK Metropolitan Statistical Area","31,602"
318,"Stockton-Lodi, CA Metropolitan Statistical Area","31,601"
319,"Madera, CA Metropolitan Statistical Area","31,592"
320,"Sumter, SC Metropolitan Statistical Area","31,517"
321,"Goldsboro, NC Metropolitan Statistical Area","31,470"
322,"Dothan, AL Metropolitan Statistical Area","31,335"
323,"Weirton-Steubenville, WV-OH Metropolitan Statistical Area","31,311"
324,"Michigan City-La Porte, IN Metropolitan Statistical Area","31,292"
325,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area","31,155"
326,"Texarkana, TX-AR Metropolitan Statistical Area","30,869"
327,"Albany, GA Metropolitan Statistical Area,","30,798"
328,"Cleveland, TN metropolitan statistical area","30,673"
329,"Decatur, AL Metropolitan Statistical Area","30,645"
330,"Chico, CA Metropolitan Statistical Area","30,512"
331,"Sebastian-Vero Beach, FL Metropolitan Statistical Area","30,500"
332,"Johnson City, TN Metropolitan Statistical Area","30,149"
333,"Valdosta, GA Metropolitan Statistical Area","30,104"
334,"Sherman-Denison, TX Metropolitan Statistical Area","29,987"
335,"El Paso, TX Metropolitan Statistical Area","29,985"
336,"Monroe, MI Metropolitan Statistical Area","29,928"
337,"Muskegon, MI Metropolitan Statistical Area","29,913"
338,"Anniston-Oxford-Jacksonville, AL","29,803"
339,"Hanford-Corcoran, CA Metropolitan Statistical Area","29,774"
340,"Yuma, AZ Metropolitan Statistical Area","29,755"
341,"Muncie, IN Metropolitan Statistical Area","29,734"
342,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","29,687"
343,"Kingston, NY Metropolitan Statistical Area","29,642"
344,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area","29,636"
345,"Florence-Muscle Shoals, AL Metropolitan Statistical Area","29,557"
346,"Yuba City, CA Metropolitan Statistical Area","29,392"
347,"Flint, MI Metropolitan Statistical Area","29,347"
348,"Gettysburg, PA Metropolitan Statistical Area","29,304"
349,"Pine Bluff, AR Metropolitan Statistical Area","29,274"
350,"Visalia-Porterville, CA Metropolitan Statistical Area","29,239"
351,"Auburn metropolitan area, Alabama","29,173"
352,"Springfield, OH Metropolitan Statistical Area","29,087"
353,"Burlington, NC Metropolitan Statistical Area","29,081"
354,"Albany, OR Metropolitan area","29,027"
355,"Brunswick, GA Metropolitan Statistical Area","28,975"
356,"Las Cruces, NM Metropolitan Statistical Area","28,627"
357,"Pocatello, ID Metropolitan Statistical Area","28,586"
358,"Cumberland, MD-WV Metropolitan Statistical Area","28,573"
359,"St. George, UT Metropolitan Statistical Area","28,401"
360,"Hot Springs, AR Metropolitan Statistical Area","28,274"
361,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area","28,142"
362,"El Centro, CA Metropolitan Statistical Area","28,099"
363,"Merced, CA Metropolitan Statistical Area","27,835"
364,"Johnstown, PA Metropolitan Statistical Area","27,735"
365,"Bay City, MI Metropolitan Statistical Area","27,352"
366,"Pueblo, CO Metropolitan Statistical Area","27,237"
367,"Lakeland-Winter Haven, FL Metropolitan Statistical Area","26,653"
368,"Hammond, LA Metropolitan Statistical Area","26,143"
369,"Laredo, TX Metropolitan Statistical Area","25,803"
370,"Port St. Lucie, FL Metropolitan Statistical Area","25,587"
371,"Gadsden, AL Metropolitan Statistical Area","25,363"
372,"Grants Pass, OR Metropolitan Statistical Area","25,093"
373,"Prescott, AZ Metropolitan Statistical Area","23,230"
374,"Deltona-Daytona Beach-Ormond Beach, FL, Metropolitan Statistical Area","22,932"
375,"Ocala, FL Metropolitan Statistical Area","21,174"
376,"Brownsville-Harlingen, TX Metropolitan Statistical Area","20,714"
377,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area","20,509"
378,"Punta Gorda, FL Metropolitan Statistical Area","20,432"
379,"The Villages, FL Metropolitan Statistical Area","19,304"
380,"Homosassa Springs, FL Metropolitan Statistical Area","18,933"
381,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area","18,142"
382,"Sebring, FL Metropolitan Statistical Area","17,597"
